standort;monat;gemessene_fahrzeuge;verstoesse;gueltige_verstoesse;verwarnungen;bussgelder;weniger_11;11_15;16_20;21_25;26_30;31_40;41_50;51_60;61_70;mehr_70;max_geschwindigkeit;einnahmen;quelle
Steinstr;Februar;37912;212;195;192;3;163;24;5;2;1;0;0;0;0;0;58;3480;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Steinstr;Maerz;45763;494;436;427;9;329;81;17;6;3;0;0;0;0;0;58;8335;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Steinstr;April;86467;566;520;517;3;409;101;7;2;1;0;0;0;0;0;56;9165;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Steinstr;Mai;44096;326;282;278;4;223;47;8;3;1;0;0;0;0;0;56;5140;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Steinstr;Juni;27559;292;262;259;3;204;49;6;3;0;0;0;0;0;0;54;4735;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Steinstr;Juli;51123;318;294;293;1;225;53;15;1;0;0;0;0;0;0;54;5305;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Steinstr;August;39585;258;218;216;2;170;41;5;2;0;0;0;0;0;0;53;3910;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Steinstr;September;39695;174;162;162;0;129;31;2;0;0;0;0;0;0;0;49;2780;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Steinstr;Oktober;31752;146;127;126;1;104;19;3;1;0;0;0;0;0;0;53;2220;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Steinstr;November;15525;79;70;70;0;59;7;4;0;0;0;0;0;0;0;49;1200;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Steinstr;Dezember;13396;77;70;70;0;51;16;3;0;0;0;0;0;0;0;44;1270;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Steinstr;gesamt;483219;3622;3273;3241;32;2539;598;104;25;7;0;0;0;0;0;58;11835;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Mainaustr;Januar;156709;1097;918;896;22;695;161;40;18;4;0;0;0;0;0;79;17690;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Mainaustr;Februar;152734;806;690;675;15;518;131;26;12;1;2;0;0;0;0;83;13335;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Mainaustr;Maerz;151243;702;563;547;16;424;93;30;10;4;2;0;0;0;0;87;11255;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Mainaustr;April;174390;747;602;588;14;446;108;34;10;2;2;0;0;0;0;86;11900;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Mainaustr;Mai;133726;739;636;630;6;517;93;20;5;1;0;0;0;0;0;77;11280;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Mainaustr;Juni;45408;246;206;205;1;172;30;3;0;0;1;0;0;0;0;87;3595;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Mainaustr;Juli;83020;437;329;325;4;233;76;16;1;2;1;0;0;0;0;84;6395;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Mainaustr;August;6428;28;25;25;0;23;2;0;0;0;0;0;0;0;0;64;395;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Mainaustr;September;107433;526;466;457;9;365;74;18;6;1;2;0;0;0;0;86;8855;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Mainaustr;Oktober;80724;346;284;284;0;244;35;5;0;0;0;0;0;0;0;70;4710;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Mainaustr;November;56958;166;125;125;0;98;25;2;0;0;0;0;0;0;0;69;2165;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Mainaustr;Dezember;14637;49;41;41;0;36;5;0;0;0;0;0;0;0;0;64;665;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Mainaustr;gesamt;1163446;5889;4885;4798;87;3771;833;194;62;15;10;0;0;0;0;87;92240;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Loh;Januar;92977;404;311;308;3;259;38;11;2;0;1;0;0;0;0;76;5540;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Loh;Februar;57577;261;242;238;4;191;42;5;3;1;0;0;0;0;0;66;4430;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
